Rank,No.,Name,Eff.,Fast,Spacial,Max DPS,Eff. HP,Max Damage,F&S Combo Dmg,Special% of Combo,Fast DPS,Special DPS,,
57,80,Mewtwo,33%,Confusion,Shadow Ball,10.26,235,241,241,43%,9.6,10.9,,
59,2,Charizard,100%,Wing Attack,Dragon Claw,15.13,158,239,239,62%,14.6,16.1,,
60,1,Venusaur,100%,Vine Whip,Sludge Bomb,13.53,177,239,239,50%,13.2,13.8,,
28,31,Golem,100%,Mud Shot,Earthquake,16.73,175,293,238,68%,16.7,9.8,,
61,78,Moltres,100%,Ember,Flamethrower,12.29,192,236,236,45%,9.9,15.3,,
62,77,Zapdos,100%,Thunder Shock,Thunderbolt,12.23,192,235,235,34%,8.6,15.6,,
56,45,Exeggutor,97%,Zen Headbutt,Solar Beam,14.11,174,245,233,70%,14.1,12,,
65,79,Dragonite,63%,Steel Wing,Dragon Pulse,10.99,211,232,232,52%,9.6,13.1,,
46,23,Golduck,100%,Water Gun,Hydro Pump,16.89,157,265,228,64%,16.9,11.7,,
68,25,Arcanine,100%,Bite,Flamethrower,12.52,179,224,224,32%,9.7,14.5,,
14,33,Slowbro,100%,Water Gun,Ice Beam,16.09,207,333,223,55%,16.1,7.7,,
67,2,Charizard,96%,Wing Attack,Flamethrower,14.59,158,231,222,52%,14.6,13.5,,
69,77,Zapdos,94%,Thunder Shock,Discharge,11.53,192,222,222,28%,8.6,13.3,,
70,12,Nidoqueen,100%,Poison Jab,Sludge Wave,11.62,189,219,219,68%,11.3,12.3,,
35,26,Poliwrath,100%,Mud Shot,Submission,13.67,200,273,218,51%,13.7,9.1,,
63,1,Venusaur,98%,Vine Whip,Petal Blizzard,13.24,177,234,218,49%,13.2,11.6,,
71,78,Moltres,93%,Ember,Heat Wave,11.36,192,218,218,59%,9.9,14.5,,
72,12,Nidoqueen,99%,Poison Jab,Stone Edge,11.5,189,217,217,71%,11.3,11.9,,
55,45,Exeggutor,97%,Zen Headbutt,Seed Bomb,14.11,174,245,215,62%,14.1,10.4,,
66,2,Charizard,96%,Wing Attack,Fire Blast,14.59,158,231,214,66%,14.6,11.9,,
77,78,Moltres,91%,Ember,Fire Blast,11.12,192,214,214,59%,9.9,13.5,,
53,72,Omastar,100%,Water Gun,Hydro Pump,15.76,156,246,212,65%,15.8,10.9,,
19,3,Blastoise,100%,Water Gun,Ice Beam,16.25,192,312,211,56%,16.2,7.8,,
64,1,Venusaur,98%,Vine Whip,Solar Beam,13.24,177,234,210,61%,13.2,10.3,,
78,79,Dragonite,57%,Steel Wing,Hyper Beam,9.97,211,210,210,67%,9.6,10.9,,
79,66,Lapras,64%,Ice Shard,Ice Beam,7.68,271,208,208,39%,5.8,9.7,,
76,12,Nidoqueen,98%,Poison Jab,Earthquake,11.34,189,214,206,68%,11.3,10.2,,
83,77,Zapdos,88%,Thunder Shock,Thunder,10.73,192,206,206,45%,8.6,13.5,,
45,23,Golduck,100%,Water Gun,Psychic,16.89,157,265,204,55%,16.9,10.2,,
84,25,Arcanine,89%,Bite,Fire Blast,11.19,179,201,201,46%,9.7,12.9,,
85,66,Lapras,62%,Ice Shard,Blizzard,7.38,271,200,200,55%,5.8,11,,
7,68,Vaporeon,100%,Water Gun,Water Pulse,16.25,242,393,199,36%,16.2,6.4,,
89,65,Gyarados,100%,Dragon Breath,Hydro Pump,9.72,205,199,199,47%,8.2,11.6,,
90,65,Gyarados,100%,Bite,Hydro Pump,9.72,205,199,199,47%,8.2,11.6,,
91,38,Muk,78%,Acid,Gunk Shot,9.14,217,198,198,59%,7.5,13.4,,
92,13,Nidoking,100%,Poison Jab,Sludge Wave,12.82,154,197,197,67%,12.5,13.5,,
18,3,Blastoise,100%,Water Gun,Flash Cannon,16.25,192,312,194,40%,16.2,8.1,,
96,25,Arcanine,86%,Fire Fang,Flamethrower,10.78,179,193,193,47%,8.4,14.5,,
97,38,Muk,75%,Acid,Sludge Wave,8.87,217,193,193,59%,7.5,12,,
100,45,Exeggutor,76%,Confusion,Psychic,11.04,174,192,192,40%,7.9,15.1,,
104,42,Hypno,100%,Zen Headbutt,Psychic,10.31,184,190,190,63%,10.1,10.7,,
105,1,Venusaur,79%,Razor Leaf,Sludge Bomb,10.71,177,189,189,51%,8.8,13.8,,
95,37,Dewgong,100%,Frost Breath,Blizzard,10.16,190,193,188,66%,10.2,9.3,,
103,16,Wigglytuff,100%,Pound,Play Rough,11.07,173,192,188,39%,11.1,10.8,,
73,57,Starmie,100%,Water Gun,Hydro Pump,16.89,128,217,187,64%,16.9,11.7,,
106,73,Kabutops,100%,Mud Shot,Stone Edge,14.74,127,187,187,61%,14.4,15.3,,
107,30,Tentacruel,100%,Poison Jab,Sludge Wave,10.79,173,187,187,69%,10.5,11.4,,
58,38,Muk,95%,Poison Jab,Dark Pulse,11.11,217,241,186,48%,11.1,7,,
98,13,Nidoking,97%,Poison Jab,Earthquake,12.5,154,192,185,67%,12.5,11.2,,
110,66,Lapras,57%,Ice Shard,Dragon Pulse,6.78,271,184,184,45%,5.8,7.9,,
111,12,Nidoqueen,84%,Bite,Sludge Wave,9.74,189,184,184,47%,7.9,12.3,,
99,13,Nidoking,97%,Poison Jab,Megahorn,12.5,154,192,183,74%,12.5,10.5,,
112,6,Pidgeot,100%,Wing Attack,Hurricane,11.92,154,183,183,66%,11.9,12,,
113,30,Tentacruel,98%,Poison Jab,Hydro Pump,10.53,173,183,181,68%,10.5,10.3,,
119,14,Clefable,100%,Pound,Moonblast,9.67,187,181,181,53%,9.3,10.1,,
120,3,Blastoise,58%,Bite,Hydro Pump,9.42,192,181,181,48%,8,11.2,,
121,28,Machamp,100%,Karate Chop,Cross Chop,10,179,179,179,50%,6.6,20.7,,
122,12,Nidoqueen,82%,Bite,Stone Edge,9.5,189,179,179,50%,7.9,11.9,,
123,33,Slowbro,54%,Confusion,Psychic,8.64,207,179,179,44%,6.4,12.1,,
36,26,Poliwrath,100%,Mud Shot,Ice Punch,13.67,200,273,178,43%,13.7,7,,
124,1,Venusaur,74%,Razor Leaf,Petal Blizzard,10,177,177,177,50%,8.8,11.6,,
47,23,Golduck,100%,Water Gun,Ice Beam,16.89,157,265,176,54%,16.9,8.1,,
102,16,Wigglytuff,100%,Pound,Hyper Beam,11.07,173,192,175,50%,11.1,9.3,,
108,42,Hypno,98%,Zen Headbutt,Psyshock,10.07,184,185,175,57%,10.1,8.9,,
125,14,Clefable,97%,Pound,Psychic,9.36,187,175,175,44%,9.3,9.4,,
127,2,Charizard,73%,Ember,Dragon Claw,11.02,158,174,174,55%,8.7,16.1,,
129,25,Arcanine,77%,Fire Fang,Fire Blast,9.69,179,174,174,61%,8.4,12.9,,
12,33,Slowbro,100%,Water Gun,Water Pulse,16.09,207,333,172,39%,16.1,6.3,,
130,2,Charizard,72%,Ember,Flamethrower,10.87,158,172,172,44%,8.7,13.5,,
131,14,Clefable,95%,Zen Headbutt,Moonblast,9.16,187,172,172,69%,8.8,10.1,,
114,30,Tentacruel,98%,Poison Jab,Blizzard,10.53,173,183,169,73%,10.5,8.1,,
132,12,Nidoqueen,77%,Bite,Earthquake,8.98,189,169,169,47%,7.9,10.2,,
133,14,Clefable,93%,Zen Headbutt,Psychic,9.01,187,169,169,61%,8.8,9.4,,
80,11,Sandslash,100%,Mud Shot,Earthquake,14.44,144,208,168,67%,14.4,8.4,,
135,65,Gyarados,85%,Dragon Breath,Dragon Pulse,8.23,205,169,167,37%,8.2,8.1,,
137,65,Gyarados,85%,Bite,Dragon Pulse,8.23,205,169,167,37%,8.2,8.1,,
138,29,Victreebel,100%,Razor Leaf,Sludge Bomb,12.23,137,167,167,45%,9.8,15.4,,
54,72,Omastar,100%,Water Gun,Rock Slide,15.76,156,246,165,43%,15.8,8.5,,
140,1,Venusaur,69%,Razor Leaf,Solar Beam,9.31,177,164,164,62%,8.8,10.3,,
141,45,Exeggutor,65%,Confusion,Solar Beam,9.45,174,164,164,52%,7.9,12,,
142,29,Victreebel,98%,Acid,Sludge Bomb,11.96,137,164,164,42%,9.1,15.4,,
144,29,Victreebel,97%,Razor Leaf,Leaf Blade,11.84,137,162,162,45%,9.8,14.3,,
145,18,Vileplume,100%,Razor Leaf,Petal Blizzard,10.22,158,161,161,49%,9,11.8,,
146,45,Exeggutor,63%,Confusion,Seed Bomb,9.17,174,159,159,41%,7.9,10.4,,
147,13,Nidoking,81%,Fury Cutter,Sludge Wave,10.35,154,159,159,23%,5.7,13.5,,
148,29,Victreebel,94%,Acid,Leaf Blade,11.56,137,158,158,42%,9.1,14.3,,
152,28,Machamp,88%,Bullet Punch,Cross Chop,8.79,179,158,158,52%,5.7,20.7,,
143,38,Muk,64%,Acid,Dark Pulse,7.51,217,163,157,39%,7.5,7,,
153,18,Vileplume,98%,Acid,Petal Blizzard,9.98,158,157,157,44%,8.4,11.8,,
154,70,Flareon,100%,Ember,Flamethrower,12.15,129,157,157,44%,9.7,15,,
158,2,Charizard,65%,Ember,Fire Blast,9.83,158,155,155,58%,8.7,11.9,,
159,3,Blastoise,50%,Bite,Flash Cannon,8.05,192,155,155,25%,8,8.1,,
160,28,Machamp,86%,Karate Chop,Stone Edge,8.58,179,154,154,52%,6.6,12.8,,
162,16,Wigglytuff,80%,Feint Attack,Play Rough,8.89,173,154,154,36%,6.8,10.8,,
86,27,Alakazam,100%,Psycho Cut,Psychic,21.1,95,200,152,57%,21.1,12.2,,
163,31,Golem,52%,Rock Throw,Stone Edge,8.69,175,152,152,58%,6.8,14.3,,
109,42,Hypno,98%,Zen Headbutt,Shadow Ball,10.07,184,185,151,62%,10.1,6.3,,
157,40,Gengar,100%,Shadow Claw,Sludge Wave,14.71,106,156,151,69%,14.7,13.5,,
161,3,Blastoise,49%,Bite,Ice Beam,8,192,154,151,38%,8,7.8,,
164,28,Machamp,84%,Karate Chop,Submission,8.39,179,151,151,37%,6.6,9.9,,
139,14,Clefable,91%,Zen Headbutt,Dazzling Gleam,8.8,187,165,150,45%,8.8,7.4,,
165,18,Vileplume,93%,Razor Leaf,Solar Beam,9.51,158,150,150,61%,9,10.5,,
126,14,Clefable,97%,Pound,Dazzling Gleam,9.34,187,175,147,26%,9.3,7.4,,
173,70,Flareon,92%,Ember,Heat Wave,11.23,129,145,145,58%,9.7,14.2,,
174,30,Tentacruel,78%,Acid,Sludge Wave,8.39,173,145,145,60%,7.1,11.4,,
178,50,Weezing,100%,Acid,Sludge Bomb,10.13,143,145,145,46%,7.9,13.3,,
179,18,Vileplume,90%,Acid,Solar Beam,9.17,158,145,145,56%,8.4,10.5,,
180,33,Slowbro,43%,Confusion,Ice Beam,6.98,207,144,144,49%,6.4,7.7,,
184,29,Victreebel,86%,Razor Leaf,Solar Beam,10.47,137,143,143,57%,9.8,11.5,,
185,15,Ninetales,100%,Ember,Flamethrower,9.09,157,143,143,45%,7.4,11.3,,
186,13,Nidoking,72%,Fury Cutter,Earthquake,9.27,154,142,142,22%,5.7,11.2,,
187,70,Flareon,90%,Ember,Fire Blast,10.98,129,142,142,58%,9.7,13.3,,
188,18,Vileplume,88%,Razor Leaf,Moonblast,9.01,158,142,142,68%,9,9.1,,
189,42,Hypno,75%,Confusion,Psychic,7.68,184,141,141,44%,5.6,10.7,,
190,30,Tentacruel,76%,Acid,Hydro Pump,8.15,173,141,141,59%,7.1,10.3,,
194,26,Poliwrath,51%,Bubble,Submission,7.04,200,140,140,37%,5.1,9.1,,
195,15,Ninetales,98%,Feint Attack,Flamethrower,8.94,157,140,140,44%,7.1,11.3,,
196,73,Kabutops,75%,Fury Cutter,Stone Edge,11.01,127,140,140,21%,5.4,15.3,,
172,49,Likitung,100%,Lick,Power Whip,9.12,161,147,139,65%,9.1,7.9,,
197,28,Machamp,78%,Bullet Punch,Submission,7.76,179,139,139,38%,5.7,9.9,,
198,26,Poliwrath,51%,Bubble,Hydro Pump,6.97,200,139,139,49%,5.1,10.9,,
199,50,Weezing,96%,Tackle,Sludge Bomb,9.68,143,138,138,44%,7.2,13.3,,
200,29,Victreebel,82%,Acid,Solar Beam,10.09,137,138,138,53%,9.1,11.5,,
204,28,Machamp,77%,Bullet Punch,Stone Edge,7.67,179,138,138,54%,5.7,12.8,,
74,57,Starmie,100%,Water Gun,Power Gem,16.89,128,217,137,48%,16.9,7.9,,
205,16,Wigglytuff,72%,Feint Attack,Hyper Beam,7.95,173,137,137,46%,6.8,9.3,,
27,31,Golem,100%,Mud Shot,Ancient Power,16.73,175,293,136,42%,16.7,5.6,,
206,18,Vileplume,84%,Acid,Moonblast,8.61,158,136,136,64%,8.4,9.1,,
175,11,Sandslash,70%,Metal Claw,Earthquake,10.09,144,145,135,61%,10.1,8.4,,
202,39,Cloyster,100%,Frost Breath,Hydro Pump,12.56,110,138,135,66%,12.6,11.8,,
207,31,Golem,46%,Rock Throw,Earthquake,7.71,175,135,135,60%,6.8,9.8,,
208,74,Aerodactyl,100%,Bite,Iron Head,9.27,145,135,135,32%,7.8,10.1,,
203,39,Cloyster,100%,Frost Breath,Blizzard,12.56,110,138,134,66%,12.6,11.6,,
209,42,Hypno,71%,Confusion,Psyshock,7.3,184,134,134,38%,5.6,8.9,,
101,16,Wigglytuff,100%,Pound,Dazzling Gleam,11.07,173,192,132,23%,11.1,7,,
210,15,Ninetales,93%,Ember,Heat Wave,8.42,157,132,132,59%,7.4,10.7,,
211,33,Slowbro,39%,Confusion,Water Pulse,6.35,207,131,131,34%,6.4,6.3,,
212,69,Jolteon,100%,Thunder Shock,Thunderbolt,10.29,127,130,130,33%,7.2,13,,
213,53,Tangela,100%,Vine Whip,Power Whip,11.66,112,130,130,63%,11.1,12.7,,
214,13,Nidoking,66%,Fury Cutter,Megahorn,8.47,154,130,130,29%,5.7,10.5,,
170,49,Likitung,100%,Lick,Hyper Beam,9.12,161,147,129,54%,9.1,7.1,,
215,15,Ninetales,91%,Ember,Fire Blast,8.24,157,129,129,59%,7.4,10,,
216,15,Ninetales,91%,Feint Attack,Heat Wave,8.24,157,129,129,58%,7.1,10.7,,
217,54,Kangaskhan,100%,Low Kick,Brick Break,6.25,206,129,129,34%,4.4,7.9,,
218,30,Tentacruel,69%,Acid,Blizzard,7.43,173,129,129,65%,7.1,8.1,,
219,62,Magmar,100%,Ember,Flamethrower,11.06,116,128,128,42%,8.8,13.6,,
220,15,Ninetales,89%,Feint Attack,Fire Blast,8.06,157,126,126,58%,7.1,10,,
221,26,Poliwrath,46%,Bubble,Ice Punch,6.31,200,126,126,30%,5.1,7,,
222,72,Omastar,51%,Rock Throw,Hydro Pump,8.08,156,126,126,60%,6.9,10.9,,
226,61,Electabuzz,100%,Thunder Shock,Thunderbolt,10.64,117,125,125,32%,7.4,13.4,,
166,25,Arcanine,67%,Fire Fang,Bulldoze,8.36,179,150,124,42%,8.4,6.1,,
183,55,Seadra,100%,Water Gun,Hydro Pump,15.44,93,144,124,63%,15.4,10.7,,
229,6,Pidgeot,68%,Steel Wing,Hurricane,8.08,154,124,124,60%,6.7,12,,
230,56,Seaking,100%,Poison Jab,Megahorn,8.64,144,124,124,69%,8.5,8.9,,
155,40,Gengar,100%,Shadow Claw,Shadow Ball,14.71,106,156,123,46%,14.7,9.9,,
231,69,Jolteon,94%,Thunder Shock,Discharge,9.7,127,123,123,27%,7.2,11.1,,
237,74,Aerodactyl,91%,Steel Wing,Iron Head,8.4,145,122,122,48%,7.1,10.1,,
128,25,Arcanine,78%,Bite,Bulldoze,9.7,179,174,121,26%,9.7,6.1,,
238,72,Omastar,49%,Rock Throw,Rock Slide,7.79,156,121,121,39%,6.9,8.5,,
239,51,Rhydon,100%,Mud Slap,Stone Edge,6.44,187,120,120,36%,3.3,13.5,,
240,16,Wigglytuff,63%,Feint Attack,Dazzling Gleam,6.96,173,120,120,23%,6.8,7,,
241,61,Electabuzz,96%,Thunder Shock,Thunder Punch,10.22,117,120,120,27%,7.4,11.8,,
242,64,Tauros,100%,Zen Headbutt,Iron Head,7.78,153,119,119,57%,7.4,8.3,,
243,37,Dewgong,62%,Ice Shard,Blizzard,6.26,190,119,119,55%,4.9,9.3,,
52,72,Omastar,100%,Water Gun,Ancient Power,15.76,156,246,118,38%,15.8,5.8,,
244,32,Rapidash,100%,Ember,Heat Wave,9.54,124,118,118,58%,8.3,12.1,,
246,64,Tauros,99%,Tackle,Iron Head,7.71,153,118,118,49%,7.1,8.3,,
247,61,Electabuzz,94%,Low Kick,Thunderbolt,9.95,117,117,117,28%,5.9,13.4,,
24,76,Articuno,100%,Frost Breath,Icy Wind,12.68,236,299,116,50%,12.7,3,,
224,20,Venomoth,100%,Bug Bite,Psychic,10.36,121,125,116,43%,10.4,9.1,,
248,63,Pinsir,100%,Fury Cutter,X Scissor,8.63,135,116,116,18%,6.6,9.3,,
249,59,Scyther,100%,Fury Cutter,X Scissor,8.28,140,116,116,18%,6.3,8.9,,
250,32,Rapidash,98%,Ember,Fire Blast,9.33,124,116,116,57%,8.3,11.3,,
251,23,Golduck,44%,Confusion,Psychic,7.38,157,116,116,42%,5.3,10.2,,
252,62,Magmar,90%,Ember,Fire Blast,9.97,116,116,116,56%,8.8,12,,
253,74,Aerodactyl,86%,Bite,Hyper Beam,7.94,145,115,115,47%,7.8,8,,
254,23,Golduck,43%,Confusion,Hydro Pump,7.3,157,115,115,51%,5.3,11.7,,
227,53,Tangela,95%,Vine Whip,Sludge Bomb,11.13,112,124,114,53%,11.1,9.2,,
255,54,Kangaskhan,89%,Low Kick,Stomp,5.54,206,114,114,26%,4.4,6.1,,
256,69,Jolteon,88%,Thunder Shock,Thunder,9.02,127,114,114,44%,7.2,11.2,,
181,55,Seadra,100%,Water Gun,Blizzard,15.44,93,144,113,68%,15.4,8.3,,
260,61,Electabuzz,91%,Low Kick,Thunder Punch,9.68,117,113,113,23%,5.9,11.8,,
261,24,Primeape,100%,Low Kick,Cross Chop,10.21,110,113,113,47%,6.8,18.7,,
169,22,Persian,100%,Scratch,Play Rough,13.83,108,149,112,53%,13.8,8,,
267,62,Magmar,88%,Karate Chop,Flamethrower,9.7,116,112,112,29%,5.7,13.6,,
115,6,Pidgeot,100%,Wing Attack,Aerial Ace,11.88,154,182,111,44%,11.9,5.5,,
228,53,Tangela,95%,Vine Whip,Solar Beam,11.13,112,124,111,59%,11.1,8.6,,
268,42,Hypno,58%,Confusion,Shadow Ball,6.03,184,111,111,42%,5.6,6.3,,
259,64,Tauros,95%,Zen Headbutt,Earthquake,7.41,153,113,110,74%,7.4,6.6,,
75,57,Starmie,100%,Water Gun,Psybeam,16.89,128,217,109,33%,16.9,6.9,,
263,50,Weezing,78%,Acid,Dark Pulse,7.89,143,113,109,39%,7.9,7.4,,
272,61,Electabuzz,88%,Thunder Shock,Thunder,9.31,117,109,109,44%,7.4,11.6,,
275,54,Kangaskhan,85%,Low Kick,Earthquake,5.29,206,109,109,47%,4.4,6.4,,
276,62,Magmar,85%,Ember,Fire Punch,9.41,116,109,109,38%,8.8,9.8,,
277,10,Raichu,100%,Spark,Thunder Punch,10.39,104,109,109,43%,8.8,12,,
156,40,Gengar,100%,Shadow Claw,Dark Pulse,14.71,106,156,108,48%,14.7,7.9,,
262,50,Weezing,78%,Acid,Shadow Ball,7.89,143,113,108,43%,7.9,7.4,,
278,49,Likitung,74%,Zen Headbutt,Power Whip,6.74,161,108,108,73%,6.4,7.9,,
279,59,Scyther,93%,Fury Cutter,Bug Buzz,7.73,140,108,108,16%,6.3,8.1,,
280,59,Scyther,93%,Steel Wing,X Scissor,7.72,140,108,108,51%,6.9,8.9,,
281,10,Raichu,100%,Thunder Shock,Thunder Punch,10.34,104,108,108,26%,7.5,12,,
282,74,Aerodactyl,80%,Steel Wing,Hyper Beam,7.42,145,108,108,62%,7.1,8,,
274,64,Tauros,92%,Tackle,Earthquake,7.13,153,109,107,67%,7.1,6.6,,
284,49,Likitung,73%,Zen Headbutt,Hyper Beam,6.63,161,107,107,64%,6.4,7.1,,
88,27,Alakazam,100%,Psycho Cut,Shadow Ball,21.1,95,200,106,54%,21.1,7.2,,
116,6,Pidgeot,100%,Wing Attack,Air Cutter,11.88,154,182,106,40%,11.9,5.4,,
236,56,Seaking,99%,Poison Jab,Drill Run,8.52,144,122,106,41%,8.5,6.8,,
285,32,Rapidash,89%,Low Kick,Heat Wave,8.53,124,106,106,41%,6,12.1,,
94,37,Dewgong,100%,Frost Breath,Aqua Jet,10.16,190,193,105,52%,10.2,3.7,,
245,31,Golem,40%,Rock Throw,Ancient Power,6.77,175,118,105,35%,6.8,5.6,,
286,23,Golduck,40%,Confusion,Ice Beam,6.69,157,105,105,41%,5.3,8.1,,
287,50,Weezing,72%,Tackle,Dark Pulse,7.33,143,105,105,38%,7.2,7.4,,
118,73,Kabutops,98%,Mud Shot,Water Pulse,14.37,127,182,104,37%,14.4,6.5,,
171,49,Likitung,100%,Lick,Stomp,9.12,161,147,104,40%,9.1,5.4,,
225,20,Venomoth,100%,Bug Bite,Bug Buzz,10.36,121,125,104,35%,10.4,7.9,,
266,19,Parasect,100%,Bug Bite,Solar Beam,9.82,115,112,104,50%,9.8,8.5,,
288,50,Weezing,72%,Tackle,Shadow Ball,7.3,143,104,104,42%,7.2,7.4,,
289,59,Scyther,90%,Steel Wing,Bug Buzz,7.44,140,104,104,49%,6.9,8.1,,
290,9,Arbok,100%,Bite,Gunk Shot,9.28,112,104,104,47%,7.2,12.4,,
291,51,Rhydon,86%,Mud Slap,Earthquake,5.54,187,104,104,38%,3.3,9.2,,
292,32,Rapidash,87%,Low Kick,Fire Blast,8.3,124,103,103,41%,6,11.3,,
298,10,Raichu,94%,Spark,Thunder,9.77,104,102,102,60%,8.8,11.7,,
299,24,Primeape,90%,Karate Chop,Cross Chop,9.21,110,102,102,49%,6,18.7,,
265,19,Parasect,100%,Bug Bite,X Scissor,9.82,115,112,101,39%,9.8,8.2,,
300,10,Raichu,93%,Spark,Brick Break,9.66,104,101,101,54%,8.8,10.9,,
301,51,Rhydon,83%,Rock Smash,Stone Edge,5.38,187,101,101,29%,2.2,13.5,,
192,43,Kingler,100%,Mud Shot,X Scissor,13.53,104,140,100,55%,13.5,7.2,,
271,60,Jynx,100%,Frost Breath,Psyshock,11.12,100,111,100,40%,11.1,9.4,,
302,61,Electabuzz,80%,Low Kick,Thunder,8.5,117,100,100,38%,5.9,11.6,,
303,9,Arbok,96%,Bite,Sludge Wave,8.89,112,100,100,47%,7.2,11.1,,
82,11,Sandslash,100%,Mud Shot,Bulldoze,14.44,144,208,99,40%,14.4,5.1,,
295,32,Rapidash,87%,Ember,Drill Run,8.28,124,103,99,38%,8.3,7.8,,
304,54,Kangaskhan,76%,Mud Slap,Brick Break,4.78,206,99,99,27%,2.3,7.9,,
305,10,Raichu,91%,Thunder Shock,Thunder,9.41,104,98,98,43%,7.5,11.7,,
117,73,Kabutops,98%,Mud Shot,Ancient Power,14.37,127,182,97,36%,14.4,6.1,,
309,10,Raichu,90%,Thunder Shock,Brick Break,9.33,104,97,97,37%,7.5,10.9,,
310,63,Pinsir,84%,Fury Cutter,Submission,7.21,135,97,97,22%,6.6,7.4,,
311,34,Magneton,100%,Spark,Discharge,9.51,102,97,97,44%,8.3,10.8,,
182,55,Seadra,100%,Water Gun,Dragon Pulse,15.44,93,144,96,52%,15.4,7.5,,
313,62,Magmar,75%,Karate Chop,Fire Punch,8.28,116,96,96,25%,5.7,9.8,,
314,44,Electrode,100%,Spark,Thunderbolt,8.19,117,96,96,50%,6.8,10.3,,
315,9,Arbok,92%,Acid,Gunk Shot,8.54,112,96,96,58%,7,12.4,,
283,72,Omastar,44%,Rock Throw,Ancient Power,6.91,156,108,95,35%,6.9,5.8,,
294,49,Likitung,70%,Zen Headbutt,Stomp,6.4,161,103,95,53%,6.4,5.4,,
316,34,Magneton,99%,Thunder Shock,Discharge,9.4,102,95,95,28%,7,10.8,,
317,34,Magneton,99%,Spark,Flash Cannon,9.39,102,95,95,34%,8.3,10.1,,
318,40,Gengar,61%,Sucker Punch,Sludge Wave,8.98,106,95,95,58%,7.2,13.5,,
